Uid,r_id
12677,50001
12678,200
12678,2981
12679,49181
12680,1443
12680,39351
12681,2773
12681,21335
12682,21453
12683,34755
12684,21406
12684,30364
12684,35320
12685,37583
12686,19271
12687,25736
12688,34767
12689,40611
12690,8033
12690,20094
12690,29673
12690,32961
2200,3000
12691,23028
10315,21753
10315,35021
10315,38434
10315,41762
12692,22745
10421,44629
12693,32839
12694,45314
12695,36308
12696,46308
12697,47903
12697,47982
3175,12820
3175,50001
12698,1498
12698,31050
12699,52289
12700,9256
12701,40288
12701,40611
12702,3052
12703,37583
12704,37962
12705,888
12705,4653
12705,28491
12705,40134
12705,50943
12706,8943
12706,21594
12706,34390
841,37720
841,50414
12707,1368
12707,1369
12707,20401
12708,33334
12708,45004
